date	open	high	low	close	volume	adj_close
2016-10-28	213.139999	213.929993	211.710007	212.539993	140623200	211.294604
2016-10-27	214.580002	214.619995	213.080002	213.169998	77220200	211.920917
2016-10-26	213.210007	214.419998	212.929993	213.740005	75705500	212.487584
2016-10-25	214.679993	214.979996	213.979996	214.169998	66542300	212.915058
2016-10-24	215.00	215.320007	214.479996	214.889999	60146600	213.63084
2016-10-21	213.880005	214.080002	212.759995	213.979996	89089100	212.726168
2016-10-20	213.869995	214.529999	213.110001	213.880005	73639800	212.626763
2016-10-19	214.020004	214.639999	213.600006	214.279999	66519200	213.024414
2016-10-18	214.240005	214.309998	213.270004	213.710007	76869700	212.457761
2016-10-17	213.089996	213.389999	212.169998	212.380005	58275700	211.135553
2016-10-14	214.149994	214.690002	213.029999	213.119995	93346200	211.871207
2016-10-13	212.160004	213.589996	211.210007	213.009995	101357000	211.761851
2016-10-12	213.589996	214.320007	213.009995	213.710007	73866100	212.457761
2016-10-11	215.660004	215.740005	212.580002	213.429993	130367400	212.179388
2016-10-10	216.160004	216.699997	215.990005	216.160004	51855000	214.893402
2016-10-07	216.100006	216.300003	214.190002	215.039993	89788300	213.779955
2016-10-06	215.369995	216.039993	214.740005	215.779999	62927400	214.515624
2016-10-05	215.410004	216.130005	215.330002	215.630005	72816000	214.366509
2016-10-04	215.910004	216.169998	213.990005	214.679993	119948100	213.422064
2016-10-03	215.820007	216.039993	215.039993	215.779999	83512100	214.515624
2016-09-30	215.649994	217.119995	215.360001	216.300003	117202900	215.032582
2016-09-29	216.399994	216.869995	214.039993	214.679993	128070600	213.422064
2016-09-28	215.830002	216.820007	214.710007	216.639999	87411000	215.370586
2016-09-27	214.050003	215.679993	213.619995	215.570007	78494800	214.306863
2016-09-26	215.020004	215.229996	214.009995	214.240005	89827300	212.984655
2016-09-23	216.720001	216.880005	215.880005	215.990005	73630900	214.7244
2016-09-22	217.00	217.529999	216.710007	217.179993	76678700	215.907415
2016-09-21	214.240005	216.029999	213.440002	215.820007	110284400	214.555398
2016-09-20	214.410004	214.589996	213.380005	213.419998	69665300	212.169452
2016-09-19	214.130005	214.880005	213.029999	213.410004	80250500	212.159516
2016-09-16	213.479996	213.690002	212.570007	213.369995	155236400	212.119742
2016-09-15	212.960007	215.729996	212.75	215.279999	134427900	212.942899
2016-09-14	213.289993	214.699997	212.50	213.149994	134185500	210.836018
2016-09-13	214.839996	215.149994	212.50	213.229996	182828800	210.915151
2016-09-12	212.389999	216.809998	212.309998	216.339996	168110900	213.991389
2016-09-09	216.970001	217.029999	213.25	213.279999	221589100	210.964611
2016-09-08	218.619995	218.940002	218.149994	218.509995	74102900	216.13783
2016-09-07	218.839996	219.220001	218.300003	219.009995	76554900	216.632402
2016-09-06	218.699997	219.119995	217.860001	219.029999	56702100	216.652189
2016-09-02	218.389999	218.869995	217.699997	218.369995	79293900	215.99935
2016-09-01	217.369995	217.729996	216.029999	217.389999	97844200	215.029994
2016-08-31	217.610001	217.75	216.470001	217.380005	85269500	215.020108
2016-08-30	218.259995	218.589996	217.350006	218.00	58114500	215.633372
2016-08-29	217.440002	218.669998	217.399994	218.360001	70502200	215.989464
2016-08-26	217.919998	219.119995	216.25	217.289993	122506300	214.931073
2016-08-25	217.399994	218.190002	217.220001	217.699997	69224800	215.336626
2016-08-24	218.800003	218.910004	217.360001	217.850006	71728900	215.485006
2016-08-23	219.25	219.600006	218.899994	218.970001	53399200	216.592843
2016-08-22	218.259995	218.800003	217.830002	218.529999	61368800	216.157617
2016-08-19	218.309998	218.75	217.740005	218.539993	75443000	216.167503
2016-08-18	218.339996	218.899994	218.210007	218.860001	52989300	216.484036
2016-08-17	218.00	218.529999	217.020004	218.369995	75134300	215.99935
2016-08-16	218.600006	218.679993	217.960007	217.960007	53213600	215.593813
2016-08-15	218.889999	219.50	218.880005	219.089996	49813500	216.711535
2016-08-12	218.289993	218.710007	217.990005	218.460007	61313500	216.088385
2016-08-11	218.259995	218.940002	217.949997	218.649994	72504300	216.276309
2016-08-10	218.309998	218.399994	217.229996	217.639999	57941100	215.27728
2016-08-09	218.130005	218.759995	217.800003	218.179993	51251700	215.811411
2016-08-08	218.399994	218.520004	217.740005	218.050003	39906500	215.682832
2016-08-05	216.410004	218.229996	216.410004	218.179993	71892200	215.811411
2016-08-04	216.309998	216.779999	214.25	216.410004	46585500	214.060637
2016-08-03	215.479996	216.25	215.130005	216.179993	53993600	213.833123
2016-08-02	216.649994	216.830002	214.570007	215.550003	92295500	213.209972
2016-08-01	217.190002	217.649994	216.410004	216.940002	73311400	214.584882
2016-07-29	216.460007	217.539993	216.130005	217.119995	79519400	214.76292
2016-07-28	216.289993	217.110001	215.75	216.770004	65035700	214.416729
2016-07-27	217.190002	217.270004	215.619995	216.520004	84083900	214.169443
2016-07-26	216.529999	217.169998	215.759995	216.75	70080500	214.396942
2016-07-25	217.00	217.059998	215.970001	216.649994	55873100	214.298022
2016-07-22	216.410004	217.300003	216.100006	217.240005	62787500	214.881628
2016-07-21	216.960007	217.220001	215.75	216.270004	67777300	213.922157
2016-07-20	216.190002	217.369995	216.190002	217.089996	58159500	214.733247
2016-07-19	215.919998	216.229996	215.630005	216.190002	54345700	213.843024
2016-07-18	215.970001	216.600006	215.669998	216.410004	58725900	214.060637
2016-07-15	216.779999	217.009995	215.309998	215.830002	107155400	213.486931
2016-07-14	216.399994	216.669998	215.660004	216.119995	91230900	213.773777
2016-07-13	215.440002	215.449997	214.350006	214.919998	87324100	212.586807
2016-07-12	214.529999	215.300003	213.429993	214.949997	101275600	212.61648
2016-07-11	213.190002	214.070007	212.949997	213.399994	73633900	211.083304
2016-07-08	211.050003	212.940002	210.779999	212.649994	133971000	210.341446
2016-07-07	209.869995	210.649994	208.630005	209.529999	85593800	207.255322
2016-07-06	207.830002	209.800003	207.059998	209.660004	96021500	207.383915
2016-07-05	208.949997	209.080002	207.710007	208.410004	109803700	206.147485
2016-07-01	209.479996	210.490005	209.289993	209.919998	106055300	207.641087
