date	open	high	low	close	volume	adj_close
2016-06-30	207.210007	209.539993	206.559998	209.479996	165021900	207.205862
2016-06-29	204.839996	206.929993	204.720001	206.660004	137328600	204.416484
2016-06-28	201.479996	203.229996	201.119995	203.199997	159382400	200.994039
2016-06-27	201.589996	201.600006	198.649994	199.600006	230775800	197.43313
2016-06-24	203.630005	210.850006	202.720001	203.240005	333444400	201.033613
2016-06-23	209.809998	210.869995	209.270004	210.809998	102731400	208.521425
2016-06-22	208.649994	209.50	207.929993	208.100006	95560500	205.840853
2016-06-21	208.300003	208.919998	207.779999	208.440002	72461700	206.177159
2016-06-20	208.820007	209.610001	207.75	207.850006	82789600	205.593567
2016-06-17	207.169998	207.199997	205.75	206.520004	117055700	204.278004
2016-06-16	207.75	208.570007	205.589996	208.369995	149533100	205.04162
2016-06-15	208.039993	209.360001	207.529999	207.75	109124500	204.431528
2016-06-14	208.00	208.740005	206.919998	208.039993	125059300	204.71689
2016-06-13	209.360001	210.369995	208.350006	208.449997	117751200	205.120344
2016-06-10	210.460007	210.860001	209.429993	210.070007	113829200	206.714477
2016-06-09	211.509995	212.220001	211.190002	212.080002	73786900	208.692365
2016-06-08	211.839996	212.520004	211.690002	212.369995	66170900	208.977727
2016-06-07	211.529999	212.339996	211.50	211.679993	60974800	208.298746
2016-06-06	210.699997	211.770004	210.509995	211.350006	64887000	207.97403
2016-06-03	210.25	210.690002	208.860001	210.279999	101757100	206.921115
2016-06-02	209.800003	210.929993	209.240005	210.910004	63044700	207.541056
2016-06-01	209.119995	210.479996	208.889999	210.270004	69936200	206.91128
2016-05-31	210.559998	210.690002	209.179993	209.839996	109879400	206.48814
2016-05-27	209.529999	210.25	209.470001	210.240005	59329000	206.88176
2016-05-26	209.440002	209.710007	208.970001	209.339996	55280700	205.996127
2016-05-25	208.669998	209.770004	207.869995	209.279999	76621400	205.937088
2016-05-24	206.169998	208.240005	206.139999	207.869995	93537800	204.549607
2016-05-23	205.509995	205.839996	204.990005	205.210007	58682600	201.932107
2016-05-20	204.919998	206.100006	204.860001	205.490005	104990400	202.207634
2016-05-19	204.059998	204.539993	202.779999	204.199997	115430500	200.938231
2016-05-18	204.440002	206.300003	203.630005	204.910004	120062100	201.636896
